,Hotel Name,Rating,Rating Group,Free WiFi,Airport Shuttle,Distance From Airport,Restaurant,Private Parking,Bar,Non Smoking Rooms,Pet Friendly,Elevator
2067,Hotel Bernini Palace,9.3,3.0,True,False,5.8,True,True,True,True,True,False
2068,Arte' Boutique Hotel,9.6,3.0,True,False,5.4,False,True,True,True,True,False
2069,CA SUSANNA NEAR TRAIN STATION,8.9,3.0,True,False,7.6,False,False,False,True,False,False
2070,San Lorenzo affittacamere,8.6,3.0,True,False,5.2,False,False,False,True,True,False
2071,Corte dei Neri Residenza d'Epoca,9.1,3.0,True,False,6.0,False,True,False,False,False,True
2072,Boutique B&B Torre de' Conti,9.4,3.0,True,False,5.3,False,False,False,True,False,True
2073,Villa Cora,9.4,3.0,True,False,6.2,True,False,True,True,True,False
2074,Hotel Locanda Canal,7.7,3.0,True,False,7.7,False,False,True,True,True,False
2075,All' Ombra Del Duomo,9.5,3.0,True,False,5.4,False,False,False,True,False,False
2076,Fenix Turandot Suite,9.3,3.0,True,True,8.2,False,False,False,True,False,False
2077,Domus Campanile,9.6,3.0,True,False,4.3,False,True,False,True,True,False
2078,Ale & Tizy House,8.3,3.0,True,True,3.9,False,False,False,True,False,False
2079,N'Agorà B&B,9.4,3.0,True,False,3.1,False,True,False,True,True,True
2080,CriSè Home,9.4,3.0,True,True,5.2,False,True,False,True,False,False
2081,BBHOMEROME - Colosseo Luxury Apartment,8.2,3.0,True,True,14.1,False,True,False,True,True,False
2082,Guest House L'Aranceto,8.5,3.0,True,False,3.2,False,True,False,True,True,False
2083,B&B LIONORA,9.5,3.0,True,True,3.9,False,True,False,True,False,False
2084,Villa il Leone,9.6,3.0,True,False,6.2,False,True,False,True,True,False
2085,Maiorani Family Apartment nel centro di Napoli,8.0,3.0,True,True,3.7,False,False,False,True,False,False
2086,Vesuvio Apartment,9.2,3.0,True,False,5.1,False,False,False,True,False,False
